2024-09-25 10:04:44,450 - INFO - Starting file processing for Spechbach_RNAB.TXT
2024-09-25 10:04:44,450 - INFO - DataLoader initialized with file path: C:\Users\D.Muehlfeld\Documents\Synthetic_Data\Synthetic_Data_Roughness\Spechbach_RNAB.TXT
2024-09-25 10:04:44,450 - INFO - Attempting to read file: C:\Users\D.Muehlfeld\Documents\Synthetic_Data\Synthetic_Data_Roughness\Spechbach_RNAB.TXT
2024-09-25 10:04:44,451 - DEBUG - File opened successfully
2024-09-25 10:04:44,451 - DEBUG - File read into memory
2024-09-25 10:04:44,455 - DEBUG - Data parsed into DataFrame
2024-09-25 10:04:44,455 - INFO - Start iteration 0 (number 0) for Spechbach_RNAB.TXT
2024-09-25 10:04:44,455 - INFO - Changing friction for iteration 0 (number 0) for Spechbach_RNAB.TXT
2024-09-25 10:04:44,455 - INFO - DataProcessor initialized with file: C:\Users\D.Muehlfeld\Documents\Synthetic_Data\Synthetic_Data_Roughness\Spechbach_RNAB.TXT
2024-09-25 10:04:44,455 - INFO - Starting to change friction values for rows where the first column is 'RAU'.
2024-09-25 10:04:44,456 - DEBUG - Original value at index 0, column RAU: 2.2136
2024-09-25 10:04:44,456 - DEBUG - New value at index 0, column RAU: 4.028199045561114
2024-09-25 10:04:44,456 - DEBUG - Original value at index 1, column RAU: 1.5913
2024-09-25 10:04:44,456 - DEBUG - New value at index 1, column RAU: 1.2801395989324986
2024-09-25 10:04:44,456 - DEBUG - Original value at index 2, column RAU: 5.0357
2024-09-25 10:04:44,456 - DEBUG - New value at index 2, column RAU: 2.0291755203377164
2024-09-25 10:04:44,456 - DEBUG - Original value at index 3, column RAU: 3.5614
2024-09-25 10:04:44,456 - DEBUG - New value at index 3, column RAU: 2.4739094495302947
2024-09-25 10:04:44,456 - DEBUG - Original value at index 4, column RAU: 1.7012
2024-09-25 10:04:44,456 - DEBUG - New value at index 4, column RAU: 1.6825472699340116
2024-09-25 10:04:44,456 - DEBUG - Original value at index 5, column RAU: 3.8842
2024-09-25 10:04:44,456 - DEBUG - New value at index 5, column RAU: 2.560620494896391
2024-09-25 10:04:44,456 - DEBUG - Original value at index 6, column RAU: 7.9643
2024-09-25 10:04:44,456 - DEBUG - New value at index 6, column RAU: 0.136597528187215
2024-09-25 10:04:44,456 - DEBUG - Original value at index 7, column RAU: 11.5335
2024-09-25 10:04:44,456 - DEBUG - New value at index 7, column RAU: 0.4293385835738019
2024-09-25 10:04:44,456 - DEBUG - Original value at index 8, column RAU: 2.6998
2024-09-25 10:04:44,456 - DEBUG - New value at index 8, column RAU: 3.780509211162166
2024-09-25 10:04:44,456 - DEBUG - Original value at index 9, column RAU: 0.8015
2024-09-25 10:04:44,456 - DEBUG - New value at index 9, column RAU: 0.45090097473657675
2024-09-25 10:04:44,456 - DEBUG - Original value at index 10, column RAU: 1.6852
2024-09-25 10:04:44,456 - DEBUG - New value at index 10, column RAU: 2.6713798983633055
2024-09-25 10:04:44,457 - DEBUG - Original value at index 11, column RAU: 4.8446
2024-09-25 10:04:44,457 - DEBUG - New value at index 11, column RAU: 2.503890978896956
2024-09-25 10:04:44,457 - DEBUG - Original value at index 12, column RAU: 22.9799
2024-09-25 10:04:44,457 - DEBUG - New value at index 12, column RAU: 0.4979701603254243
2024-09-25 10:04:44,457 - DEBUG - Original value at index 13, column RAU: 1.8711
2024-09-25 10:04:44,457 - DEBUG - New value at index 13, column RAU: 2.713537397425966
2024-09-25 10:04:44,457 - DEBUG - Original value at index 14, column RAU: 5.9294
2024-09-25 10:04:44,457 - DEBUG - New value at index 14, column RAU: 4.8952882440758385
2024-09-25 10:04:44,457 - DEBUG - Original value at index 15, column RAU: 2.668
2024-09-25 10:04:44,457 - DEBUG - New value at index 15, column RAU: 3.2460969111804427
2024-09-25 10:04:44,457 - DEBUG - Original value at index 16, column RAU: 1.7486
2024-09-25 10:04:44,457 - DEBUG - New value at index 16, column RAU: 1.8294392984126129
2024-09-25 10:04:44,457 - DEBUG - Original value at index 17, column RAU: 2.7296
